State,Year,Population,Water.Access,Birth.Rate,Corruption.Convictions,Grain.Yields,HDI,Percent.Irrigated,Rural.Bank.Branches,Capex,Credit.by.SCBs,Credit.Deposit.Ratio,Credit.to.Ag,Credit.to.Industry,Gross.Fixed.Capital.Formation,Km.Highways,Infant.Mortality.Rate,Literacy.Rate,Per.Capita.Elec.Cons,Personal.Loans.by.SCBs,Percentage.BPL,Total.Registered.Vehicles,Approx.Life.Expectancy,GSDP.Base.1980,Percentage.Ag.Share.GDP,Share.Rural.Pop,Social.Expenditure,Gross.Fiscal.Deficit,,
Tamil.Nadu,1998,NA,NA,19.2,8,2562,NA,0.536596523,207,53.9,370,92.6,43.8,176.5,59627.6,2481,53,NA,498.07,45.6,NA,3614000,64.4,8149108.456,0.208974837,NA,66.5,21.2,,
Tamil.Nadu,1999,NA,NA,19.3,4,2343,NA,0.548513656,207,58.7,416,90.7,42.2,211.4,51675.4,3681,52,NA,547.95,46.2,NA,4074000,66.2,9302716.227,0.210826677,NA,81.5,47.8,,
Tamil.Nadu,2000,NA,NA,19.3,20,2461,0.48,0.549930971,212,56.5,489,88.6,43.3,236.3,57566.5,3681,51,NA,599.01,56.8,21.12,4611000,66.2,9940463.125,0.18213782,NA,88.6,53.8,,
Tamil.Nadu,2001,62406000,85.6,19,13,2209,NA,0.550646892,210,63.2,571,90.6,47,268,41221.4,3758,49,73.45,623.25,77,NA,5162000,66.2,10874668.95,0.177391925,0.559593629,96.2,50.8,,
Tamil.Nadu,2002,NA,NA,18.5,72,1612,NA,0.548024414,213,91.5,626,85.4,51,297,70028.9,3758,44,NA,645.44,94,NA,5658000,66.2,11027662.29,0.172356645,NA,91.9,47.4,,
Tamil.Nadu,2003,NA,NA,18.3,23,1539,NA,0.505104989,210,192.2,766,90.7,62,335,80770.6,3758,43,NA,677.37,149,NA,8005000,67.9,11716168.63,0.131226284,NA,96.6,67.4,,
Tamil.Nadu,2004,NA,NA,17.1,26,1874,NA,0.466328066,209,145.1,906,93.1,91,366,98764.2,4183,41,NA,1059.34,223,NA,8575000,67.9,12991499.59,0.121335576,NA,115.9,55.9,,
Tamil.Nadu,2005,NA,NA,16.5,27,1847,NA,0.524197657,212,132.2,1109,101.2,124,476,134195.3,4183,37,NA,976.81,279,28.9,9257000,67.9,14991869.52,0.13638461,NA,136.2,55.7,,
Tamil.Nadu,2006,NA,NA,16.2,20,2610,NA,0.563069783,215,192.8,1466,110.5,167,538,169154,4183,37,NA,1079.94,373,NA,10054000,67.9,17649993.64,0.138940913,NA,143,22.5,,
Tamil.Nadu,2007,NA,NA,15.8,43,2125,NA,0.566318672,218,220.8,1859,114.5,231,737,211075.8,4462,35,NA,1132.39,447,NA,10981000,69.4,21257044.65,0.143524845,NA,169.2,39.6,,
Tamil.Nadu,2008,NA,NA,16,63,2225,0.57,0.559243336,248,284.3,2277,114.7,266,858,200725.9,4462,31,NA,1134.48,600,NA,11930000,69.4,24015296.56,0.144744287,NA,199.9,36.9,,
Tamil.Nadu,2009,NA,NA,16.3,37,2477,NA,0.582589286,271,317.4,2653,108.1,339,1054,274280.3,4832,28,NA,1210.81,646,NA,12891000,69.4,27473466.81,0.141356487,NA,268.9,85.5,,
Tamil.Nadu,2010,NA,NA,15.9,31,2393,NA,0.581119885,286,269.1,3229,113.8,440,1280,230536.3,4832,24,NA,1232.51,636,17.1,14062000,69.4,32840160.24,0.16085191,NA,293.5,118.1,,
Tamil.Nadu,2011,72147000,92.5,15.9,41,3162,NA,0.58195724,298,298.3,3941,115.1,566,1655,298986.6,4832,22,80.33,1277,758,NA,15638000,69.4,40039084.42,0.166761712,0.516029773,364.9,166.5,,
Tamil.Nadu,2012,NA,NA,15.7,32,2131,NA,0.597453311,336,330,4662,116.9,748,1864,317041.1,4943,21,NA,1226.26,892,11.28,17412000,NA,45673303.48,0.165610674,NA,419,172.7,,
Tamil.Nadu,2013,NA,NA,15.6,39,2554,NA,0.581906615,346,425.7,5493,123.3,906,2092,340908.1,4943,21,NA,NA,1111,NA,19232000,NA,50989347.04,0.142410574,NA,467.5,165.2,,
Tamil.Nadu,2014,NA,NA,NA,NA,NA,NA,NA,372,707.1,6087,121.8,1092,2277,NA,4975,NA,NA,NA,1122,NA,20864000,NA,58476889.22,0.14500971,NA,551.2,205.8,,
Tamil.Nadu,2015,NA,NA,NA,NA,NA,NA,NA,448,769.3,6492,119,1151,2361,NA,5006,NA,NA,NA,1280,NA,22519000,NA,66860213.92,0.146178951,NA,NA,NA,,
Uttar.Pradesh,1981,105137000,33.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.65,NA,NA,NA,NA,NA,NA,NA,0.821661261,NA,NA,,
Uttar.Pradesh,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.07,NA,NA,NA,NA,NA,NA,NA,,
Uttar.Pradesh,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Uttar.Pradesh,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.46,NA,NA,NA,NA,NA,NA,NA,,
Uttar.Pradesh,1990,NA,NA,35.6,2,1739,NA,NA,3033,27,72,40,17,31.8,22421.7,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,,
Uttar.Pradesh,1991,132062000,62.2,35.7,0,1785,NA,0.579709576,3056,28.5,92,44.8,22,37.7,35816.3,2754,NA,40.71,174,6.9,NA,1897925,56.8,5550571,0.400680579,0.803334797,47.1,30.7,,
Uttar.Pradesh,1992,NA,NA,36.3,1,1777,NA,0.610157424,3065,34.4,98,42.5,23.2,39.7,38042.9,2754,NA,NA,179,8.7,NA,2150628,56.8,6467723,0.40689173,NA,44.4,28.4,,
Uttar.Pradesh,1993,NA,NA,36.2,0,1835,NA,0.623067035,3062,30,108,41.5,24.7,46.6,60932.5,2754,NA,NA,186,10.9,NA,2289019,56.8,7070435,0.383141773,NA,55.7,37.1,,
Uttar.Pradesh,1994,NA,NA,35.4,3,1918,NA,0.640595028,3058,56.7,113,37.2,25.9,46.1,64241,2733,NA,NA,204,12.6,40.85,NA,56.8,7190632.395,0.394366843,NA,52.1,31.7,,
Uttar.Pradesh,1995,NA,NA,34.8,0,1886,NA,0.65362499,3052,32.3,127,35.1,29.1,51.6,68796.4,2733,NA,NA,207,13.5,NA,2544000,59.1,8403328.408,0.385909143,NA,60.3,47.7,,
Uttar.Pradesh,1996,NA,NA,34,1,2088,NA,0.658007987,3052,38.1,141,33.8,28.8,60.06,82444.4,2862,NA,NA,197,16.1,NA,2977000,59.1,9496463.118,0.372004587,NA,64.7,43.8,,
Uttar.Pradesh,1997,NA,NA,33.5,5,2027,NA,0.668490949,3047,44.3,157,31.9,32.6,71.6,72133,2883,85,NA,199.53,18.7,NA,3164000,59.1,11420661,0.37438886,NA,76.9,59.6,,
Uttar.Pradesh,1998,NA,NA,32.4,4,1945,NA,0.665105207,3040,29.1,177,29.5,37.6,79.4,81532.7,3260,85,NA,198.79,24,NA,3775000,59.1,12295030.95,0.354867363,NA,90.8,75.8,,
Uttar.Pradesh,1999,NA,NA,32.8,0,2188,NA,0.676477334,3033,31.8,197,28,43.04,83.6,35412.2,4307,84,NA,179.06,26.9,NA,4027000,60.1,13751202.32,0.350228582,NA,104.8,116.3,,
Uttar.Pradesh,2000,NA,NA,32.8,1,2105,0.316,0.687201456,3027,46.4,233,28.2,50.2,96,30707.6,4570,83,NA,191.08,35.2,31.15,4627000,60.1,14776501.1,0.356643279,NA,116.7,111,,
Uttar.Pradesh,2001,166198000,87.8,32.1,0,2164,NA,0.699098957,2839,46.8,241,28.3,59,94,36285.1,5758,82,56.27,189.02,37,NA,4921000,60.1,15312430.49,0.35110449,0.792175598,121.3,101.8,,
Uttar.Pradesh,2002,NA,NA,31.6,1,1995,NA,0.715997957,2846,45.6,294,29.9,69,105,29690,4942,80,NA,187.73,52,NA,5171000,60.1,16051147.77,0.350062986,NA,122.8,99,,
Uttar.Pradesh,2003,NA,NA,31.3,2,2192,NA,0.73184978,2844,126.6,332,30.6,88,129,49600.2,4942,76,NA,188.83,69,NA,5928000,61.5,17450396.34,0.337341325,NA,131,95,,
Uttar.Pradesh,2004,NA,NA,30.8,1,1961,NA,0.728574238,2854,53.5,396,33.1,103,122,51363.7,5599,72,NA,310.2,114,NA,6460000,61.5,19147474.01,0.332925746,NA,130,166.5,,
Uttar.Pradesh,2005,NA,NA,30.4,0,2057,NA,0.742007522,2839,94.7,513,37.9,139,149,91383.1,5599,73,NA,311.82,156,40.9,7344000,61.5,20993124.56,0.316761892,NA,169.3,130,,
Uttar.Pradesh,2006,NA,NA,30.1,0,2057,NA,0.749594974,2834,70.4,626,41,182,170,98101.6,5599,71,NA,340.5,199,NA,7989000,61.5,23595207.07,0.307682125,NA,201.4,100.8,,
Uttar.Pradesh,2007,NA,NA,29.5,2,2206,NA,0.756167618,2855,83.3,820,45.1,234,234,130366.5,5874,69,NA,345.69,236,NA,9086000,63,27067636.86,0.288226094,NA,240.3,96.2,,
Uttar.Pradesh,2008,NA,NA,29.1,3,2365,0.38,0.75600316,2853,93.2,938,43.7,287,277,109253.3,5874,67,NA,371.89,313,NA,9826000,63,30826875.11,0.284751647,NA,300.1,137.9,,
Uttar.Pradesh,2009,NA,NA,28.7,4,2236,NA,0.769973696,2940,96.3,1111,42.2,345,332,85478.8,6774,63,NA,386.93,274,NA,10779000,63,35789376.76,0.312196513,NA,395.1,205.1,,
Uttar.Pradesh,2010,NA,NA,28.3,3,2386,NA,0.76077044,3003,84.2,1351,43.3,409,434,121699.6,6774,61,NA,411.94,280,37.7,11988000,63,42124104.48,0.304119298,NA,472.5,186.9,,
Uttar.Pradesh,2011,199812000,95.1,27.8,7,2498,NA,0.766191685,3092,105,1633,44,436,541,181226.2,2042,57,69.72,450,341,NA,13287000,63,48312532.6,0.298231188,0.777315677,506.7,172.5,,
Uttar.Pradesh,2012,NA,NA,27.4,4,2542,NA,0.7672231,3171,132.5,1897,44,533,648,239376.7,7818,53,NA,449.98,373,29.43,15445000,NA,55170509.65,0.309644252,NA,597.2,154.3,,
Uttar.Pradesh,2013,NA,NA,27.2,5,2484,NA,0.78196042,3396,167.2,2252,44.1,645,851,140219.1,7818,50,NA,NA,463,NA,17048000,NA,62808478.61,0.316691512,NA,674.4,192.4,,
Uttar.Pradesh,2014,NA,NA,NA,NA,NA,NA,NA,3604,228.2,2666,44.6,823,890,NA,7986,NA,NA,NA,549,NA,19115000,NA,69436001.08,0.303572983,NA,765.6,236.8,,
Uttar.Pradesh,2015,NA,NA,NA,NA,NA,NA,NA,3828,252.7,3055,45.4,932,1028,NA,8483,NA,NA,NA,649,NA,21636000,NA,78574846.69,0.314148273,NA,NA,NA,,
West.Bengal,1981,54581000,69.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.65,NA,NA,NA,NA,NA,NA,NA,0.735310822,NA,NA,,
West.Bengal,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.85,NA,NA,NA,NA,NA,NA,NA,,
West.Bengal,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
West.Bengal,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.72,NA,NA,NA,NA,NA,NA,NA,,
West.Bengal,1990,NA,NA,28.2,0,1735,NA,NA,841,9,88,56.8,6.9,50.5,18431.6,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,,
West.Bengal,1991,68078000,82,27,0,2036,NA,0.287660164,861,8.7,100,53,6.1,57.9,34690.1,1651,NA,57.7,151,6.61,NA,841489,62.1,3479710,0.260870015,0.725197567,29.9,16.3,,
West.Bengal,1992,NA,NA,24.8,NA,1960,NA,0.287445188,866,9.8,110,52.8,8.4,64.3,29681.3,1651,NA,NA,158,7.5,NA,910650,62.1,4038037,0.301464301,NA,27.2,11.4,,
West.Bengal,1993,NA,NA,25.7,0,2006,NA,0.291686183,866,10.7,132,54.3,9.1,76,47217.5,1651,NA,NA,171,8.6,NA,1010823,62.1,4329039,0.282825588,NA,27.5,10.1,,
West.Bengal,1994,NA,NA,25.2,0,2077,NA,0.286981567,866,16.5,130,45.9,7.6,74.9,29525.6,1651,NA,NA,175,10,35.66,NA,62.1,4467568.248,0.325876387,NA,33.2,16.7,,
West.Bengal,1995,NA,NA,23.6,0,1960,NA,0.285730672,865,18.8,151,53.9,7.8,84.2,22709.6,1651,NA,NA,186,11.8,NA,1199000,63.7,5187361.316,0.339653477,NA,38.3,19.7,,
West.Bengal,1996,NA,NA,22.8,0,2135,NA,0.27761061,866,26.7,172,55.2,9.1,95.61,33544.2,1651,NA,NA,194,15.6,NA,1240000,63.7,6176892.811,0.330890362,NA,41,27,,
West.Bengal,1997,NA,NA,22.4,0,2186,NA,0.543989403,866,22.4,183,50.8,9.5,98.3,35030.8,1715,55,NA,202.41,17.9,NA,1346000,63.7,6863517.048,0.339456068,NA,49.9,34,,
West.Bengal,1998,NA,NA,21.3,0,2198,NA,0.55891565,867,7.9,208,47.2,9.3,119.7,13804.5,1706,53,NA,209.72,22.2,NA,1485000,63.7,8192393.514,0.35390332,NA,51.8,40.1,,
West.Bengal,1999,NA,NA,20.7,0,2178,NA,0.562648009,867,12.4,231,44.9,10.44,132,3967.9,1896,52,NA,206.94,23.4,NA,1604000,66.2,9659972.123,0.347463843,NA,66.3,71.1,,
West.Bengal,2000,NA,NA,20.7,0,2231,0.422,0.561236249,866,12.1,272,45.5,11,148.9,16281.3,1951,51,NA,207.65,29.4,27.02,1690000,66.2,10606423.61,0.32269675,NA,93.4,116.7,,
West.Bengal,2001,80176000,88.5,20.5,1,2424,NA,0.558188,872,17,303,44.5,14,152,21085,1951,51,68.64,218.1,41,NA,1690000,66.2,11260531.62,0.295837003,0.720277889,96.2,109.2,,
West.Bengal,2002,NA,NA,20.5,0,2374,NA,0.55486246,873,18.2,352,45.8,19,180,15173.3,1951,49,NA,224.57,49,NA,1690000,66.2,12311913.26,0.289694771,NA,95.8,118,,
West.Bengal,2003,NA,NA,20.3,0,2421,NA,0.558464774,873,21.5,412,47.9,22,211,10532.6,1951,46,NA,237.47,62,NA,2366000,68.1,13162435.36,0.273057763,NA,84.6,105.7,,
West.Bengal,2004,NA,NA,19.3,0,2479,NA,0.557602733,875,45.2,476,49.5,38,237,22212.9,2325,40,NA,430.33,87,NA,2548000,68.1,14827993.48,0.271372038,NA,90.1,128.7,,
West.Bengal,2005,NA,NA,18.8,0,2423,NA,0.560642655,875,15.5,586,52.3,39,289,29396.7,2325,38,NA,380.61,129,34.3,2681000,68.1,16409084.02,0.247342741,NA,97.3,106.5,,
West.Bengal,2006,NA,NA,18.4,0,2511,NA,0.577048149,874,20.3,709,56.3,60,334,40337.2,2325,38,NA,396.79,174,NA,2827000,68.1,18106846.73,0.249044259,NA,114.5,96,,
West.Bengal,2007,NA,NA,17.9,0,2525,NA,0.579242346,874,24.1,977,64.7,82,442,63245.8,2377,37,NA,436.48,226,NA,3198000,69.4,20579098.53,0.233410391,NA,131.4,114.3,,
West.Bengal,2008,NA,NA,17.5,0,2493,0.492,0.581316653,878,32.4,1190,62.4,94,539,48620.6,2524,35,NA,442.45,211,NA,2762000,69.4,23551822.76,0.241564614,NA,161.9,114,,
West.Bengal,2009,NA,NA,17.2,0,2522,NA,0.576514997,880,37.4,1388,60.7,86,612,181758.7,2578,33,NA,515.08,262,NA,3044000,69.4,26890926.71,0.227644999,NA,194.7,135.6,,
West.Bengal,2010,NA,NA,16.8,0,2601,NA,0.579748164,884,30,1700,61.5,128,819,91651.1,2578,33,NA,537.85,255,26.7,2747000,69.4,31368618.1,0.246490361,NA,277,249.5,,
West.Bengal,2011,91276000,92.2,16.3,0,2645,NA,0.588088768,886,37.4,2001,63.7,154,914,92660.7,2578,32,77.08,564,274,NA,3261000,69.4,36250579.55,0.241307367,0.681263421,305.6,195.3,,
West.Bengal,2012,NA,NA,16.1,0,2717,NA,0.581310809,905,46.1,2388,63.8,187,1171,111587.8,2681,32,NA,593.86,262,19.98,3861000,NA,41547631.39,0.23057708,NA,356.1,177,,
West.Bengal,2013,NA,NA,16,0,2721,NA,0.630812151,907,52.1,2701,62,210,1376,93422.4,2681,31,NA,NA,313,NA,6111000,NA,47445345.92,0.237017233,NA,401,191.5,,
West.Bengal,2014,NA,NA,NA,NA,NA,NA,NA,907,125.5,2959,61.6,262,1571,NA,2908,NA,NA,NA,365,NA,6745000,NA,55565153.89,0.24206128,NA,455.8,253.5,,
West.Bengal,2015,NA,NA,NA,NA,NA,NA,NA,925,120.4,3201,57.8,240,1732,NA,2910,NA,NA,NA,386,NA,7403000,NA,62981582.14,0.24255818,NA,NA,NA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
